"","value","x","y","Location.Sample.Date","compre_keep","Season","Facility","Object","Room","RoomType","Risk","Soil","Touch","Material","YM","Moisture","Continuity","Area","samples","Mat_cat","Freq_cat","Humid","Temp","Fill_bins_YM","Log10YM","Frequency"
"sample-201","sample-201",-1.05258681726123,3.62840612713654,"WS.36.2","no","Fall","Facility1","Wall/Ceiling","Cheese Room","Post-Pasteurization ",3,"Yes","No","Painted Cinderblock",50000,"Dry","Continuous","Production","sample-201","Painted Cinderblock","None","Standard (30-60)","Ambient (~70-75)","Medium",4.7,"None"
"sample-202","sample-202",-0.331068029675412,3.92760120564089,"WS.36.4","no","Spring","Facility1","Wall/Ceiling","Cheese Room","Post-Pasteurization ",3,"Yes","No","Painted Cinderblock",132000,"Dry","Continuous","Production","sample-202","Painted Cinderblock","None","Standard (30-60)","Ambient (~70-75)","High",5.12,"None"
"sample-224","sample-224",0.505586575149045,-0.616082287255823,"WS.47.2","yes","Fall","Facility1","Door","Hot Room","Warehouse",3,"Yes","No","Metal",0,"Dry","Continuous","Storage","sample-224","Metal","None","Standard/Dry(0-30)","Hot(106.5)","Low",0,"None"
"sample-225","sample-225",0.226323140664455,-3.46975540990735,"WS.47.4","yes","Spring","Facility1","Door","Hot Room","Warehouse",3,"Yes","No","Metal",0,"Dry","Continuous","Storage","sample-225","Metal","None","Standard/Dry(0-30)","Hot(106.5)","Low",0,"None"
"sample-226","sample-226",0.436603834985147,-2.02704320079621,"WS.47.3","yes","Winter","Facility1","Door","Hot Room","Warehouse",3,"Yes","No","Metal",400,"Dry","Continuous","Storage","sample-226","Metal","None","Standard/Dry(0-30)","Hot(106.5)","Low",2.6,"None"
"sample-227","sample-227",-0.690921006940349,-1.49918744008778,"WS.48.2","yes","Fall","Facility1","Door","Hot Room","Warehouse",3,"Yes","No","Painted Metal, Plastic",600,"Dry","Continuous","Storage","sample-227","Plastic, Metal","None","Standard/Dry(0-30)","Hot(106.5)","Low",2.78,"None"
"sample-228","sample-228",0.800676927155584,-2.55871695645759,"WS.48.4","yes","Spring","Facility1","Door","Hot Room","Warehouse",3,"Yes","No","Painted Metal, Plastic",1600,"Dry","Continuous","Storage","sample-228","Plastic, Metal","None","Standard/Dry(0-30)","Hot(106.5)","Medium",3.2,"None"
"sample-229","sample-229",0.276914361086933,-1.52477417086571,"WS.48.3","yes","Winter","Facility1","Door","Hot Room","Warehouse",3,"Yes","No","Painted Metal, Plastic",1200,"Dry","Continuous","Storage","sample-229","Plastic, Metal","None","Standard/Dry(0-30)","Hot(106.5)","Medium",3.08,"None"
"sample-230","sample-230",1.91478280084761,-0.491398400736564,"WS.49.2","yes","Fall","Facility1","Fan/Vent","Hot Room","Warehouse",3,"Yes","No","Metal",600,"Dry","Grille","Storage","sample-230","Metal","None","Standard/Dry(0-30)","Hot(106.5)","Low",2.78,"None"
"sample-231","sample-231",1.08253311143805,0.0759298426672959,"WS.49.4","yes","Spring","Facility1","Fan/Vent","Hot Room","Warehouse",3,"Yes","No","Metal",3200,"Dry","Grille","Storage","sample-231","Metal","None","Standard/Dry(0-30)","Hot(106.5)","Medium",3.51,"None"
"sample-232","sample-232",1.56897532203909,-1.09031278314373,"WS.49.3","yes","Winter","Facility1","Fan/Vent","Hot Room","Warehouse",3,"Yes","No","Metal",800,"Dry","Grille","Storage","sample-232","Metal","None","Standard/Dry(0-30)","Hot(106.5)","Low",2.9,"None"
"sample-235","sample-235",0.877943145421451,-0.894835649148759,"WS.50.4","no","Spring","Facility1","Fan/Vent","Hot Room","Warehouse",3,"Yes","No","Painted Metal",400,"Dry","Grille","Storage","sample-235","Metal","None","Standard/Dry(0-30)","Hot(106.5)","Low",2.6,"None"
"sample-236","sample-236",1.31494092880446,-1.49816672658192,"WS.50.3","no","Winter","Facility1","Fan/Vent","Hot Room","Warehouse",3,"Yes","No","Painted Metal",0,"Dry","Grille","Storage","sample-236","Metal","None","Standard/Dry(0-30)","Hot(106.5)","Low",0,"None"
"sample-341","sample-341",-0.626117510673222,2.9945785261658,"WS.36.1","no","Summer","Facility1","Wall/Ceiling","Cheese Room","Post-Pasteurization ",3,"Yes","No","Painted Cinderblock",4.5e+07,"Dry","Continuous","Production","sample-341","Painted Cinderblock","None","Standard (30-60)","Ambient/Warm (~75-80)","High",7.65,"None"
"sample-348","sample-348",2.62217409210805,-1.33095736127496,"WS.49.1","yes","Summer","Facility1","Fan/Vent","Hot Room","Warehouse",3,"Yes","No","Metal",1750,"Dry","Grille","Storage","sample-348","Metal","None","Standard/Dry(0-30)","Hot(106.5)","Medium",3.24,"None"
"sample-72","sample-72",-2.04282441300186,-4.62214172906664,"WS.E7.3","no","Winter","Facility1","Floor Object","Batch","Raw",3,"Yes","No","Sealed Stone",3600000,"Dry","Continuous","Production","sample-72","Sealed Stone","None/as needed","Standard (30-60)","Cool (~60-68)","High",6.56,"None/as needed"
