"","baseMean","log2FoldChange","pvalue","padj","Upregulated"
"g__Nigrospora",3.26902352712565,1.88381462093186,0.00417657456605466,0.00853473933063344,"Post-Pasteurization "
"g__Coniochaeta",239.328100739849,5.33097065311111,3.13868747720608e-09,3.40426872527736e-08,"Post-Pasteurization "
"g__Ophiostoma",166.600285774598,4.22661194195308,5.34592191605438e-06,2.89913457755257e-05,"Post-Pasteurization "
"g__Meyerozyma",111.067531118167,3.27223529289655,0.000468688247410306,0.00129112668393538,"Post-Pasteurization "
"g__Kurtzmaniella",5.85405120957834,2.86593317716717,9.95070048546519e-05,0.000311788615211243,"Post-Pasteurization "
"g__Hyphopichia",6.27117738841275,2.93928252536745,9.61937241287057e-05,0.000311788615211243,"Post-Pasteurization "
"g__Pichia",72.9145741016992,2.72096922745571,0.00245655074830444,0.00541208836735822,"Post-Pasteurization "
"g__Wickerhamomyces",61.3899516221348,3.94043761686813,2.66992637542643e-05,0.000113316546325985,"Post-Pasteurization "
"g__Cyberlindnera",13.1588757865247,3.75473947557057,1.87744271726026e-05,8.53933623011927e-05,"Post-Pasteurization "
"g__Hanseniaspora",3.2186136277057,1.8591687995096,0.00479286320734914,0.00938602378105872,"Post-Pasteurization "
"g__Kazachstania",4.07651831463608,1.5344556226537,0.015438193632076,0.0256092388485025,"Post-Pasteurization "
"g__Debaryomyces",942.949464711214,7.29656171108503,4.99345698295373e-11,1.40815486919295e-09,"Post-Pasteurization "
"g__Wickerhamiella",225.271942444981,-3.76374740425335,9.85189167406075e-05,0.000311788615211243,"Filling"
"g__Diutina",3.44189338709363,1.6541637805605,0.0135415780213845,0.023004367482111,"Post-Pasteurization "
"g__Syncephalastrum",15.7237745171439,3.75596918846734,1.29471525769787e-06,8.29939848611074e-06,"Post-Pasteurization "
"g__Wallemia",165.801161574542,6.22258051677909,1.06093320648641e-10,2.49319303524307e-09,"Post-Pasteurization "
"g__Kwoniella",2.52602558029073,1.44403065358869,0.0168389660429096,0.0272327103547274,"Post-Pasteurization "
"g__Dioszegia",36.659798945535,4.12773742839041,1.1931608317864e-06,8.29939848611074e-06,"Post-Pasteurization "
"g__Tremellales_gen_Incertae_sedis",5.25758277269638,2.55619970542986,0.000700979866726798,0.00173400282821892,"Post-Pasteurization "
"g__Papiliotrema",112.570494633981,4.30439987330054,4.27535298750548e-07,3.17276195388565e-06,"Post-Pasteurization "
