"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"732f5e205f792d5d47fcd6961c3c250e","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__Vishniacozyma_dimennae"
"bdcf150ca0a8b7cf7a5e7cb4be82d5ae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__"
"d839e0dbcd3d51e81ed41bd6aae4b58e","k__Fungi","p__","c__","o__","f__","g__","s__"
"2c2e30bac3f37465fc337eda4fc82b19","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__Candida_sake"
"8073a9d49ee449d4e6840488d9bb58c4","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Aporpiaceae","g__Elmerina","s__Elmerina_caryae"
"4d2fb88b8084d57c2b730a7b22474daf","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Phlebia","s__Phlebia_acerina"
"93f3b808772f3f8b51da7c151eaf7dde","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Pichia","s__Pichia_fermentans"
"d820bbac55f7f4fee93a711317be7031","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta","s__"
"eef269fec5c1b305f238891135f1df34","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Amyloporia","s__Amyloporia_sinuosa"
"28cab8a69f3c3f57de466b64b5df0869","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Pseudotaeniolina","s__Pseudotaeniolina_globosa"
"6d2b4018dd9d6373dde51d5675f24c67","k__Fungi","p__","c__","o__","f__","g__","s__"
"d054c3271e75a05f0b1cfb200c7ab768","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Peziza","s__Peziza_varia"
"e49e326aeb2c3462d4cfdf1f58d8b3ab","k__Fungi","p__","c__","o__","f__","g__","s__"
"f219c40a813c4bb49ee579ce5bdd0d4e","k__Fungi","p__Ascomycota","c__","o__","f__","g__","s__"
"66e542275b0cc2fa54bfde56592119e4","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Plagiostoma","s__"
"98c4e667ccb8e347da803676dbd8af08","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae","g__Lophodermium","s__"
"4770151c973da9c9db74501315f4c51b","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__Aspergillus_fumigatus"
"0296f3d94b86ec4ea356b19582d5e3cf","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Irpicaceae","g__Ceriporia","s__Ceriporia_lacerata"
