"","Genus","Site","Abundance","Site_Room"
"196","Papiliotrema","Raw-FloorB.1",0.422487693416553,"Raw-FloorB"
"197","Papiliotrema","Raw-WallA",0,"Raw-WallA"
"198","Papiliotrema","Raw-WallA.1",0,"Raw-WallA"
"199","Papiliotrema","Raw-WallB",0,"Raw-WallB"
"200","Papiliotrema","Raw-WallB.1",0.389020651356511,"Raw-WallB"
"201","Papiliotrema","Ware-DoorA",0,"Ware-DoorA"
"202","Papiliotrema","Ware-DoorA.1",0,"Ware-DoorA"
"203","Papiliotrema","Ware-FanA",0.0211003850820277,"Ware-FanA"
"204","Papiliotrema","Ware-FanA.1",0.0985983566940551,"Ware-FanA"
"205","Papiliotrema","Ware-FloorA",0.433083686095734,"Ware-FloorA"
"206","Papiliotrema","Ware-FloorA.1",0,"Ware-FloorA"
"207","Papiliotrema","Ware-FloorB",7.60665266217049,"Ware-FloorB"
"208","Papiliotrema","Ware-FloorB.1",1.77667596322694,"Ware-FloorB"
"209","Penicillium","Raw-FloorA",0.279214419491744,"Raw-FloorA"
"210","Penicillium","Raw-FloorA.1",0,"Raw-FloorA"
"211","Penicillium","Raw-FloorB",0.382805780873202,"Raw-FloorB"
"212","Penicillium","Raw-FloorB.1",0.453158306368753,"Raw-FloorB"
"213","Penicillium","Raw-WallA",0.555204218237966,"Raw-WallA"
"214","Penicillium","Raw-WallA.1",0.428650340637083,"Raw-WallA"
"215","Penicillium","Raw-WallB",0.100922970758216,"Raw-WallB"
"216","Penicillium","Raw-WallB.1",0.968936194828484,"Raw-WallB"
"217","Penicillium","Ware-DoorA",67.1947138802999,"Ware-DoorA"
"218","Penicillium","Ware-DoorA.1",64.9713407885826,"Ware-DoorA"
"219","Penicillium","Ware-FanA",7.39568497125073,"Ware-FanA"
"220","Penicillium","Ware-FanA.1",6.10343160947318,"Ware-FanA"
"221","Penicillium","Ware-FloorA",16.2911103874959,"Ware-FloorA"
"222","Penicillium","Ware-FloorA.1",43.7487224909723,"Ware-FloorA"
"223","Penicillium","Ware-FloorB",14.6146920853537,"Ware-FloorB"
"224","Penicillium","Ware-FloorB.1",11.816961057742,"Ware-FloorB"
"225","Rhodotorula","Raw-FloorA",0.225948899465627,"Raw-FloorA"
"226","Rhodotorula","Raw-FloorA.1",0.0238133036989998,"Raw-FloorA"
"227","Rhodotorula","Raw-FloorB",0,"Raw-FloorB"
"228","Rhodotorula","Raw-FloorB.1",0.0107347145332699,"Raw-FloorB"
"229","Rhodotorula","Raw-WallA",0,"Raw-WallA"
"230","Rhodotorula","Raw-WallA.1",0,"Raw-WallA"
"231","Rhodotorula","Raw-WallB",0,"Raw-WallB"
"232","Rhodotorula","Raw-WallB.1",0.229941574593625,"Raw-WallB"
"233","Rhodotorula","Ware-DoorA",0,"Ware-DoorA"
"234","Rhodotorula","Ware-DoorA.1",0,"Ware-DoorA"
"235","Rhodotorula","Ware-FanA",0,"Ware-FanA"
"236","Rhodotorula","Ware-FanA.1",0.0386660222329628,"Ware-FanA"
"237","Rhodotorula","Ware-FloorA",0.113969391077825,"Ware-FloorA"
"238","Rhodotorula","Ware-FloorA.1",0,"Ware-FloorA"
"239","Rhodotorula","Ware-FloorB",1.06455230363432,"Ware-FloorB"
"240","Rhodotorula","Ware-FloorB.1",6.56956925937403,"Ware-FloorB"
"241","Yarrowia","Raw-FloorA",40.6055086857163,"Raw-FloorA"
"242","Yarrowia","Raw-FloorA.1",11.2866239791149,"Raw-FloorA"
"243","Yarrowia","Raw-FloorB",0.0615524713738849,"Raw-FloorB"
"244","Yarrowia","Raw-FloorB.1",0.120382155837384,"Raw-FloorB"
"245","Yarrowia","Raw-WallA",0.272674261028113,"Raw-WallA"
"246","Yarrowia","Raw-WallA.1",0.355735591972012,"Raw-WallA"
"247","Yarrowia","Raw-WallB",0.0146640213922194,"Raw-WallB"
"248","Yarrowia","Raw-WallB.1",0.0564007635795685,"Raw-WallB"
"249","Yarrowia","Ware-DoorA",0,"Ware-DoorA"
"250","Yarrowia","Ware-DoorA.1",2.66439815656023,"Ware-DoorA"
"251","Yarrowia","Ware-FanA",3.5729985405567,"Ware-FanA"
"252","Yarrowia","Ware-FanA.1",0.889318511358144,"Ware-FanA"
"253","Yarrowia","Ware-FloorA",0.3158580267014,"Ware-FloorA"
"254","Yarrowia","Ware-FloorA.1",2.00994753696259,"Ware-FloorA"
"255","Yarrowia","Ware-FloorB",8.57643769841897,"Ware-FloorB"
"256","Yarrowia","Ware-FloorB.1",3.37775023241401,"Ware-FloorB"
