"","Genus","Filling","Post-Pasteurization ","Raw","Warehouse"
"88","Neosetophoma",0,0.00707348786345318,0,0.089821597167506
"89","Nigrospora",0,0.000240746458469129,0,0.0074609656038648
"90","Oidiodendron",0.0397987044519575,0,0,0.0130650965772428
"91","Ophiostoma",0.0193231316888629,0.0649497970083066,0.0852651189873537,0.296849158418368
"92","Orbilia",0.0186151742308711,0.00458482017618891,0,0.00591527508052905
"93","Paecilomyces",0.0946579258404112,0.000271221009864308,0.0453259077921493,0.192179925881518
"94","Papiliotrema",0.0127483453947723,0.114834116097306,0.32403134325993,0.206048286967709
"95","Paraphoma",0.00320680208533759,0.000972837906001659,0.0370542763007785,0.660537634767238
"96","Parapyrenochaeta",0,0.000361119687703694,0,0.00495396249513888
"97","Penicillium",4.14536235626958,0.622170022540526,8.71229692399216,10.3276246739411
"98","Periconia",0,0.126311708642397,0.0132277034118848,0.00086111140499496
"99","Petriella",0,0,0,0.00570249123171657
"100","Phaeococcomyces",0,0,0,0.0257193354388245
"101","Phaeoisaria",0,0,0,0.0103534458988515
"102","Phanerochaete",0.00549748035657114,0.000421306302320976,0,0.0293486818779239
"103","Phialemonium",0,0,0.00113510599052186,0.0304282218139624
"104","Pichia",0.0416714216615978,0.00612264368881997,0.0252388123851117,0.141429123322604
"105","Piskurozyma",0.0122716270969273,0.0847699575275349,0.0494039949785205,0.601906502848877
"106","Plectosphaerella",0.0410408614775797,0.835108590287272,0,0.179534725902372
"107","Pleurostoma",0.0216459140760287,0,0,0.0345578666041771
"108","Preussia",0.00572774591719111,0.00237644545293305,0.000945921658768221,0.0110977977936949
"109","Proceropycnis",0,0,0.00224866654074134,0.00329465146398215
"110","Pseudogymnoascus",0.0603307556770473,0.0266433692446964,0.00584106818534439,0.580583335832151
"111","Pseudopithomyces",0.0317890109290887,0.0298708970185801,0.000567552995260932,0.0782530971940473
"112","Pseudotremella",0,0,0.00127773366554409,0.00770053154097674
"113","Pyrenochaetopsis",0,0.0369904559079819,0,0.0108482257419016
"114","Ramularia",0.00519076973745445,0,0.0029205340926722,0.0139952250580551
"115","Rhizopus",1.28237860514101,0.058863381274987,1.35768569783999,4.54429688755559
"116","Rhodosporidiobolus",0.611947874225156,0.19623283297889,0.138133681885467,1.73803639295121
"117","Rhodotorula",0.242012146289771,0.25020911849908,1.65985030239345,1.16225336666881
"118","Rozellomycota_gen_Incertae_sedis",0.0175944803436709,0.351256937650544,0.00137158640521392,1.19441710430425
"119","Sarocladium",8.49813678890394,0.535086550566455,0.278850844186134,0.0607570178315094
"120","Scopulariopsis",0,0.0131248197753252,0.00332154642301742,0.0172486856324513
"121","Sistotrema",0.00091622916723931,0,0.0066138517059424,0.0235075840928108
"122","Spermospora",0,0.00642910424082484,0.00383320099663226,0.246515224189519
"123","Spissiomyces",0.01659521112348,0.00356637671594282,0,0.017848068595899
"124","Spizellomycetales_gen_Incertae_sedis",0,0,0,0.0222396853663303
"125","Sporidiobolus",0.130878604238739,0.152145116878414,0.160707298555021,0.801359353101869
"126","Sporobolomyces",0.0278578221925703,0,0,0.000890582403738394
"127","Stachybotrys",0,0.0650338836462372,0,0.0692913971235772
"128","Stagonosporopsis",0,0.000474636767262539,0,0.000344282450342357
"129","Starmerella",0.00213115091073169,0.000248650820647168,0.00095043511629708,0.0801830779909804
"130","Symmetrospora",0.291186441797504,0.113529912597156,0.0508559784854416,1.76077192049894
"131","Syncephalastrum",0.000414022835133741,0,0,0.023872302650722
"132","Talaromyces",0.0552788896126445,0.00156727270624197,0.115031813487517,0.846214865856469
"133","Tausonia",0.0219678316711743,0.026970703986061,0.0156320910613167,0.417208274315396
"134","Tetracladium",0.00452388151324409,0,0.00661402170993586,0.0758140284731959
"135","Thielaviopsis",0.000532315073743382,0,0.0578144917644461,0.00601545435160537
"136","Torula",0,0,0,0.00795981861691511
"137","Trametes",0.00635633984772271,0.0734063343540265,0.0379577576167129,0.0380196475948206
"138","Tremellales_gen_Incertae_sedis",0,0.0018540155744091,0,0.0513588804571624
"139","Tricellula",0,0.00760320196501607,0,0.0543830964633203
"140","Trichoderma",0.292294490544746,0.353353953990401,0.473551181502678,4.14549977362572
"141","Trichomerium",0,0,0,0.00248371608202966
"142","Trichosporon",0.0371332847388923,0.649124804432926,0.412509925958764,0.118327817394409
"143","Uwebraunia",0,0.000684798010925162,0,0.00182806110111844
"144","Verrucaria",0,0,0,0.145128331610681
"145","Vishniacozyma",0.152442467745952,0.408843001760032,8.84097719212911,6.33948625746217
"146","Wallemia",0.00144017193437247,0.00494532902004057,0.0199625014972726,0.509487190535313
"147","Wickerhamiella",0.966127161385733,0.252454366543908,0.901119124451476,0.0550626223663541
"148","Wickerhamomyces",0.000720085967186236,0.225291362380957,0.00582159812905881,0.0614553602253825
"149","Yarrowia",0.502050108445227,4.124151869255,25.5265715918902,5.34547293613147
"150","Zalaria",0.203126052684767,0.0247564868868537,0.00244577947941208,0.100743725948164
