"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"2c23b453cadf880694fac2ab7549c7a4","k__Fungi","p__","c__","o__","f__","g__","s__"
"2f29ff536593aa4d4c4c3e1bd854360c","k__Fungi","p__","c__","o__","f__","g__","s__"
"2f91bec87715a08b57663efde50be176","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Rhynchogastremataceae","g__Papiliotrema","s__Papiliotrema_terrestris"
"3023f58b3c18a35cf3852a1410db9f6a","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Microstromatales","f__Microstromatales_fam_Incertae_sedis","g__Pseudomicrostroma","s__Pseudomicrostroma_glucosiphilum"
"3a41c48bc7320ed86b058e34484d9548","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Knufia","s__Knufia_sp"
"3b4e60b49b3e6df5c7da723b4064fef2","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Pleurotaceae","g__Pleurotus","s__Pleurotus_citrinopileatus"
"3bd82ca8cd8a25d1595685428387c523","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Naviculisporaceae","g__Pseudorhypophila","s__Pseudorhypophila_marina"
"3c6d50aca2dfb9052867a53fd25952db","k__Fungi","p__Fungi_phy_Incertae_sedis","c__Fungi_cls_Incertae_sedis","o__Fungi_ord_Incertae_sedis","f__Fungi_fam_Incertae_sedis","g__Fungi_gen_Incertae_sedis","s__Fungi_sp"
"3d9eabc262b9b227eab0b78ee6b7d26e","k__Fungi","p__Ascomycota","c__","o__","f__","g__","s__"
"3da07c2e470bcff7aaf19684ca3e201b","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Entomocorticium","s__"
