"","OTUID","mean_abundance","sd_abundance"
"140","g__Trichoderma",0.0376283825606027,0.0756502530599924
"141","g__Trichomerium",2.25444998215e-05,0.000129193022919517
"142","g__Trichosporon",0.00107405249634925,0.00229968498630502
"143","g__Uwebraunia",1.65931699947674e-05,8.03658979284319e-05
"144","g__Verrucaria",0.00131731870231234,0.00800834985181502
"145","g__Vishniacozyma",0.0575430291061951,0.149872427066615
"146","g__Wallemia",0.00462457603716669,0.0209189457425048
"147","g__Wickerhamiella",0.00049979918763306,0.0014123299193203
"148","g__Wickerhamomyces",0.000557825577430395,0.00244123882356157
"149","g__Yarrowia",0.0485204466510395,0.210964711580741
"150","g__Zalaria",0.000914443050914102,0.00222506854256502
